check_in_date,check_out_date,currency,distance_from_center,min_price,name,rating,review_count,stars,url
2023-11-20,2023-11-21,CZK,1.1,1370.16,Accommodation Smečky 14,9.0,1165,3,https://www.booking.com/hotel/cz/accommodation-smecky-14.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,14.0,1960.52,Hotel U Karla,8.8,355,3,https://www.booking.com/hotel/cz/u-karla.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,1.6,1530.92,Archibald Flats Prague,8.6,156,3,https://www.booking.com/hotel/cz/archibald-flats-prague.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,0.6,3675.98,OREA Place Seno,9.4,1369,4,https://www.booking.com/hotel/cz/orea-place-sensa-hlavni-mesto-praha.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,9.4,1543.91,Villa Royal,6.8,315,3,https://www.booking.com/hotel/cz/villa-royal.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,0.6,2340.0,numa I Poise Rooms & Apartments,8.9,838,4,https://www.booking.com/hotel/cz/numa-i-poise-rooms-and-apartments.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,100.0,2377.13,Hotel Dar,8.1,1505,3,https://www.booking.com/hotel/cz/dar.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,300.0,1678.94,Apartments by Jacob,9.0,2,3,https://www.booking.com/hotel/cz/apartments-by-jacob.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,2.5,1466.71,Hidden Art Boutique Residence,9.1,1890,4,https://www.booking.com/hotel/cz/hidden-art-boutique-residence.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
2023-11-20,2023-11-21,CZK,2.1,2344.07,Hermitage Hotel Prague,9.0,6057,4,https://www.booking.com/hotel/cz/park-inn-prague.cs.html?aid=397594&label=gog235jc-1BCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQGIAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIF4AIB&sid=c0b14234663a36fc66ae8b417d55092c&all_sr_blocks=7726221_348186498_2_1_0;dest_id=-553173;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=52;highlighted_blocks=7726221_348186498_2_1_0;hpos=2;matching_block_id=7726221_348186498_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7726221_348186498_2_1_0__9000;srepoch=1700172776;srpvid=d4b2952c16e7007d;type=total;ucfs=1&#hotelTmpl
